user_id,show_id,rating
1,s8381,4
1,s3466,5
1,s3181,4
1,s294,3
1,s7739,5
1,s2917,3
1,s5899,5
1,s2361,3
1,s493,4
1,s7361,3
1,s242,3
2,s2471,4
2,s764,3
2,s3668,3
2,s1257,3
2,s7845,4
2,s8261,3
2,s540,3
2,s4410,5
2,s909,3
2,s7204,3
2,s3882,3
3,s5348,3
3,s1707,5
3,s8294,4
3,s3474,4
3,s6604,3
3,s1350,3
3,s3749,3
3,s6,3
3,s7419,3
3,s1318,5
3,s1517,4
4,s7269,5
4,s1952,4
4,s7541,3
4,s1484,5
4,s7484,4
4,s5005,5
4,s5357,5
4,s3131,4
4,s4495,4
4,s1269,3
4,s701,4
5,s7843,4
5,s5471,5
5,s3764,4
5,s5803,3
5,s3888,3
5,s3582,3
5,s821,5
5,s2418,3
5,s8084,5
5,s8575,3
5,s1060,5
6,s73,3
6,s3421,4
6,s3104,4
6,s1989,3
6,s4145,4
6,s8701,4
6,s2671,4
6,s6319,5
6,s443,3
6,s2923,4
7,s6450,4
7,s4948,5
7,s3933,4
7,s8497,3
7,s4316,5
7,s828,5
7,s850,4
7,s5219,3
7,s7626,3
7,s444,3
7,s7224,3
8,s6101,4
8,s8575,4
8,s8032,5
8,s2658,3
8,s2978,4
8,s2107,4
8,s1384,3
8,s1689,3
8,s7393,4
8,s7868,4
8,s6452,4
9,s2796,5
9,s6652,5
9,s6931,4
9,s1952,3
9,s1466,5
9,s4742,3
9,s3416,5
9,s1463,5
9,s4495,4
9,s6488,3
9,s5413,4
10,s8265,5
10,s4138,4
10,s8551,4
10,s7246,5
10,s2325,4
10,s2455,3
10,s42,4
10,s4386,4
10,s3562,3
10,s4594,5
10,s1323,5
11,s5240,5
11,s7131,4
11,s3788,5
11,s1586,5
11,s234,5
11,s2,5
11,s7259,5
11,s1874,5
11,s1924,4
11,s7017,4
11,s2795,3
12,s2958,5
12,s5916,4
12,s400,4
12,s5843,3
12,s2830,4
12,s4235,5
12,s7383,3
12,s5327,3
12,s3708,3
12,s4901,4
12,s2368,4
13,s5948,5
13,s5335,3
13,s8228,5
13,s8782,4
13,s4672,3
13,s667,4
13,s1457,4
13,s1195,4
13,s764,5
13,s8329,3
13,s1276,5
14,s7439,3
14,s790,4
14,s8209,3
14,s3975,4
14,s1801,5
14,s5854,5
14,s524,5
14,s3359,4
14,s4121,5
